raw_alt,region,source,titre,prix,surface_m2,rooms,localisation,code_postal,ville
"Appartement à vendre - neuf 154 000 € 1 pièce 28,2 m² 1er étage dès le 01/07/2027 Bon Secours Senlis 60300",Hauts-de-France,logicimmo,,154000.0,28.2,1.0,,,
"Appartement à vendre - neuf 365 000 € 4 pièces 3 chambres 83,1 m² 3ème étage Brigode-Ascq-Haute Borne Villeneuve-d'Ascq 59491",Hauts-de-France,logicimmo,,365000.0,83.1,4.0,,,
"Appartement à vendre - neuf 281 000 € 3 pièces 2 chambres 61,7 m² dès le 31/12/2025 Le Maresquel Templeuve 59242",Hauts-de-France,logicimmo,,281000.0,61.7,3.0,,,
"Appartement à vendre - neuf 466 838 € 5 pièces 4 chambres 91,8 m² dès le 31/03/2028 Strasbourg 67000",Hauts-de-France,logicimmo,,466838.0,91.8,5.0,,,
"Appartement à vendre - neuf 118 000 € 1 pièce 31,1 m² Étage 3/3 dès le 31/12/2027 Centre Chateau Thierry 02400",Hauts-de-France,logicimmo,,118000.0,31.1,1.0,,,
"Appartement à vendre - neuf 145 860 € 2 pièces 39,5 m² Étage 1/3 dès le 31/12/2027 Centre Chateau Thierry 02400",Hauts-de-France,logicimmo,,145860.0,39.5,2.0,,,
"Appartement à vendre - neuf 264 000 € 2 pièces 48,4 m² 2ème étage dès le 31/03/2027 Croisé Laroche-Rouges Barres Marcq-en-Baroeul 59700",Hauts-de-France,logicimmo,,264000.0,48.4,2.0,,,
"Appartement à vendre - neuf 294 000 € 2 pièces 1 chambre 44,4 m² Clémenceau Calmette Marcq en Baroeul 59700",Hauts-de-France,logicimmo,,294000.0,44.4,2.0,,,
"Appartement à vendre - neuf 434 000 € 3 pièces 2 chambres 66,2 m² Clémenceau Calmette Marcq en Baroeul 59700",Hauts-de-France,logicimmo,,434000.0,66.2,3.0,,,
Appartement à vendre - neuf 349 000 € 4 pièces 3 chambres 94 m² 2ème étage Rive Gauche Quesnoy-sur-Deule 59890,Hauts-de-France,logicimmo,,349000.0,94.0,4.0,,,
"Appartement à vendre - neuf 225 000 € 3 pièces 58,4 m² 1er étage Ville Ancienne Étaples 62630",Hauts-de-France,logicimmo,,225000.0,58.4,3.0,,,
Maison à vendre 102 900 € 5 pièces 3 chambres 78 m² 85 m² de terrain Sainte Elisabeth Roubaix 59100,Hauts-de-France,logicimmo,,102900.0,78.0,5.0,,,
